state,x,y
Ladakh,-167.0,483.0
Jammu&Kashmir,-255.0,450.0
Himachal Pradesh,-178.0,380.0
Uttarakhand,-110.0,310.0
Punjab,-237.0,340.0
Haryana,-209.0,275.0
Delhi,-184.0,258.0
Uttar Pradesh,-77.0,181.0
Rajasthan,-327.0,188.0
Gujarat,-388.0,49.0
Madhya Pradesh,-151.0,53.0
Bihar,100.0,149.0
West Bangal,182.0,56.0
Jharkhand,87.0,64.0
Odisha,70.0,-39.0
Chhattisgarh,-13.0,2.0
Maharashtra,-264.0,-91.0
Goa,-309.0,-243.0
Telangana,-127.0,-153.0
Andhra Pradesh,-129.0,-263.0
Karnataka,-256.0,-286.0
Kerala,-222.0,-441.0
Tamil Nadu,-152.0,-421.0
Assam,340.0,193.0
Sikkim,197.0,226.0
Arunachal Pradesh,407.0,272.0
Meghalaya,296.0,153.0
Nagaland,409.0,185.0
Manipur,388.0,131.0
Mizoram,358.0,76.0
Tripura,320.0,95.0
Andaman&Nicobar Islands,394.0,-364.0
Lakshadweep Islands,-364.0,-399.0
Chandigarh,-193.0,336.0
Dadra&NagarHaveli and Daman&Diu,-341.0,-50.0
Puducherry,-94.0,-419.0
